product_id,name,brand,category,shade,finish,price,currency,image_url,product_url,retailer,retailer_code,in_stock,rating,review_count,long_wear,waterproof,shade_category
sephora_40580941d457,Dior Matte Lipstick in Rosy Nude,Dior,lipstick,Rosy Nude,Matte,70.04,USD,https://images.sephora.com/product-images/7c522658dbaa4d6d.jpg,https://www.sephora.com/product/Dior-Rosy-Nude,Sephora,sephora,True,3.5,483,True,True,Nude
sephora_e309899051b1,Laura Mercier Cream Lipstick in Fire Red,Laura Mercier,lipstick,Fire Red,Cream,106.93,USD,https://images.sephora.com/product-images/f6ab10b1b02240e5.jpg,https://www.sephora.com/product/Laura-Mercier-Fire-Red,Sephora,sephora,False,4.2,477,True,True,Red
sephora_6b15b4cee957,Clinique Matte Lipstick in Fire Red,Clinique,lipstick,Fire Red,Matte,106.39,USD,https://images.sephora.com/product-images/650bf715d73d41a5.jpg,https://www.sephora.com/product/Clinique-Fire-Red,Sephora,sephora,True,4.1,272,True,False,Red
sephora_d842cdc80ec4,Clinique Metallic Lipstick in Caramel Brown,Clinique,lipstick,Caramel Brown,Metallic,55.75,USD,https://images.sephora.com/product-images/9828dcd3ee8e42c1.jpg,https://www.sephora.com/product/Clinique-Caramel-Brown,Sephora,sephora,True,3.8,482,False,False,Brown
sephora_a03272eb0817,Guerlain Matte Lipstick in Blackberry,Guerlain,lipstick,Blackberry,Matte,128.54,USD,https://images.sephora.com/product-images/6fcd2fbeca2f4ec4.jpg,https://www.sephora.com/product/Guerlain-Blackberry,Sephora,sephora,True,3.7,0,True,False,Berry
sephora_bb5efceb5d34,Dior Liquid Matte Lipstick in Warm Nude,Dior,lipstick,Warm Nude,Liquid Matte,8.49,USD,https://images.sephora.com/product-images/28ce32eb19cc47e4.jpg,https://www.sephora.com/product/Dior-Warm-Nude,Sephora,sephora,False,4.1,144,False,False,Nude
sephora_262e7109b546,Dior Glossy Lipstick in Coral Pink,Dior,lipstick,Coral Pink,Glossy,52.63,USD,https://images.sephora.com/product-images/8ea807face024ccc.jpg,https://www.sephora.com/product/Dior-Coral-Pink,Sephora,sephora,True,4.6,0,False,False,Pink
sephora_b74af6143ab2,Huda Beauty Satin Lipstick in Rose,Huda Beauty,lipstick,Rose,Satin,30.53,USD,https://images.sephora.com/product-images/56ee3f579f1c47b5.jpg,https://www.sephora.com/product/Huda-Beauty-Rose,Sephora,sephora,True,3.7,467,True,True,Pink
sephora_b851af5b37a2,Bare Minerals Metallic Lipstick in Chocolate,Bare Minerals,lipstick,Chocolate,Metallic,15.92,USD,https://images.sephora.com/product-images/a0e9187eae2a41f9.jpg,https://www.sephora.com/product/Bare-Minerals-Chocolate,Sephora,sephora,True,,193,True,True,Brown
sephora_cadfc797b5e8,Estée Lauder Satin Lipstick in Raspberry,Estée Lauder,lipstick,Raspberry,Satin,34.96,USD,https://images.sephora.com/product-images/3829787cb404409e.jpg,https://www.sephora.com/product/Estée-Lauder-Raspberry,Sephora,sephora,False,,0,False,False,Berry
